website,name,type,process,network,public,biz,materials,paon,area,postcode,country,tel,email,organisation
http://www.brightsparksonline.com/,Bright Sparks,organisation,donate,,,,,176 Seven Sisters Road,Islington,N7 7PX,,020 7272 9156,,
,Haringey Household reuse and recycling centre,recycling centre,recycle,,,,,,Haringey,,,,,
http://groups.freecycle.org/islington-west-freecycle,"Islington West-Lower Holloway,Barnsbury,Kings X",online exchange,sell;give,,,,,,Islington,,,,,
http://www.islington.gov.uk/services/rubbish-recycling/recycle/household-reuse-recycling-centre/Pages/default.aspx,Islington Household Reuse and Recycling Centre ,recycling centre,recycle,,,,,40 Hornsey Street,Islington,N7 8HU,,,,Islington Council
http://www.computersforcharities.org/,Computers for Charities,organisation,donate,,,,computers,,,,,,,
http://www.donateapc.org.uk/,Donate a PC,organisation,donate,,,,computers,,,,,,,
http://www.computers4africa.org.uk,Computers 4 Africa,organisation,donate,,,,computers,,,,,,,
http://www.computeraid.org/individual-donations.html,Computer Aid,organisation,donate,,,,computers,,London,,UK,,,
http://www.mpsonline.org.uk/fpsvisit,Mailing Preference Service,organisation,reduce,,,,fax junk mail,,,,,,,
http://www.mpsonline.org.uk/,Mailing Preference Service,organisation,reduce,,,,junk mail,,,,,,,
,Royal Mail,organisation,reduce,,,,junk mail,,,,,,optout@royalmail.com,
http://www.tfsr.org/,Tools for Self Reliance,organisation,donate,,,,knitting needles; sewing machines,,,,,,,
http://www.re-cycle.org/,Re-Cycle,organisation,,,,,bicycles,,,,,,,
http://www.conservationfoundation.co.uk/project.php?id=3,Tools Shed,organisation,,,,,garden tools,,,,,,,
http://www.save-a-cup.co.uk/,Save a Cup,organisation,,,,,plastic cups,,,,,,,
http://www.realnappiesforlondon.org.uk/index.php,Real Nappies for London,organisation,,,,,nappies,,,,,,,
http://www.visionaidoverseas.org/recycle/opticians,Vision Aid Overseas,organisation,,,,,spectacles,,,,,,,
http://www.uk.freecycle.org/,Freecycle,online exchange,,yes,,,,,,,,,,
http://www.ecobees.com/,EcoBees,online exchange,,,,,,,,,,,,
http://www.freetocollect.co.uk/,Freetocollect.co.uk,online exchange,,,,,,,,,,,,
http://www.goodwillgallery.co.uk/,Goodwill Gallery,online exchange,,,,,,,,,,,,
http://www.readitswapit.co.uk/TheLibrary.aspx,ReadItSwapIt,online exchange,,,,,,,,,,,,
http://www.ibootsale.co.uk/main/index.php,iBootSale,online exchange,,,,,,,,,,,,
http://www.ebay.co.uk/,eBay,online exchange,,,,,,,,,,,,
http://www.gumtree.com/,Gumtree,online exchange,,,,,,,,,,,,
http://www.greenmetropolis.com/,Green Metropolis,online exchange,,,,,,,,,,,,
http://www.ecotopia.co.uk/,www.ecotopia.co.uk,product store,,,,,,,,,,,,
http://www.ecozone.co.uk/,Eco Zone,product store,,,,,,,,,,,,
http://www.greenchoices.org/,www.greenchoices.org,product store,,,,,,,,,,,,
http://www.greenglass.co.uk/,www.greenglass.co.uk,product store,,,,,,,,,,,,
http://www.remarkable.co.uk/,www.remarkable.co.uk,product store,,,,,,,,,,,,
http://www.naturalcollection.com/,www.naturalcollection.com,product store,,,,,,,,,,,,
http://www.recycledproductsonline.co.uk/,www.recycledproductsonline.co.uk,product store,,,,,,,,,,,,
http://store.cat.org.uk/,www.cat.org.uk,product store,,,,,,,,,,,,
http://www.revolve-uk.com/index5.htm,www.revolve-uk.com,product store,,,,,,,,,,,,
http://www.used2bee.com/,www.used2bee.com,product store,,,,,,,,,,,,
http://www.reestore.com/,www.reestore.com,product store,,,,,,,,,,,,
http://www.recycledproducts.org/,www.recycledproducts.org,product store,,,,,,,,,,,,
http://www.streetbank.com/splash?locale=en-GB,StreetBank,online exchange,,,,,multiple,,,,,,,
https://www.blablacar.co.uk/search-car-sharing,BlaBlaCar,organisation,,,,,car rides,,,,,,,
http://hire.girlmeetsdress.com/,Girl Meets Dress,organisation,,,,,dresses,,,,,,,
https://www.borrowmydoggy.com/,BorrowMyDoggy,organisation,,,,,dogs,,,,,,,
https://www.splosh.com/,Splosh,product store,,,,,cleaning products,,,,,,,
http://www.communitywoodrecycling.org.uk/,Community Wood Recycling,organisation,,yes,,,wood,,,,,,,
http://www.croydon-treecycle.co.uk/,Croydon Treecycle,organisation,,,,,christmas trees,,Croydon,,UK,,,
http://www.zeropercent.us/,Zero Percent,organisation,,,,,food waste,,,,US,,,
http://www.gettradr.com/index-us.html,Tradr,online exchange,,,,,multiple,,,,,,,
http://www.ripenear.me,Ripe Near Me,online exchange,,,,,,,,,AU,,,
http://www.intellibins.nyc/,Intellibins,app,,,,,,,New York,,US,,,
http://data.kabadiwallaconnect.in/,Kabadiwalla Connect,online exchange,,,,,,,,,IN,,,
https://itunes.apple.com/gb/app/recycle-sheffield/id961733209?mt=8,Recycle Sheffield,app,,,,,,,,,,,,
http://enviromate.co.uk/,Enviromate,online exchange,,,,,construction materials,,,,UK,,,
http://www.preloved.co.uk/,Preloved,online exchange,,,,,,,,,,,,
https://planzheroes.org/#!/,Plan Zheros,online exchange,,,,,food waste,,,,,,,
http://www.communityrepaint.org.uk/,Community Repaint,organisation,,yes,,,paint,,,,,,,
http://www.espares.co.uk/,Espares,product store,,,,,spare parts,,,,,,,
http://www.ebm.org.uk/recycling/,Recycle (East Belfast Mission),organisation,,,,,bicycles; furniture; wood; paint,,Northern Ireland,,UK,,,
http://www.rdc-cbs.com/partner/ageuk/,Age UK,charity,recycle,,,,computers,,,,UK,,,
http://www.jamies.org.uk/,Jamie's Computers,organisation,recycle,,drop off,yes,computers,,,,,,,
http://www.pcrecycler.eu/index.html,PC Recycler,organisation,recycle,,,yes,computers,,,,,,,
http://www.donateit.co.uk/,Donate IT,organisation,donate,,,,computers,,,,,,,
http://www.borroclub.co.uk/,BorroClub,online exchange,borrow,,,,,,,,,,,
